id;name;Price [CZK];Price without VAT [CZK];Rating;rating_count;availability;"Display size [""]";Display resolution;Panel type;Display type;Aspect Ratio;Display refresh rate [Hz];Luminosity [Nits];Colour coverage and certification;Processor type;AMD processor generation;Processor model number;Number of processor cores;Processor frequency [GHz];Core boost frequency [GHz];TDP [W];Cache processor [MB];CPU features;Size of operational RAM [GB];Memory type;Memory frequency [MHz];Number of installed slots;Total number of slots;Graphics card type;Graphics card brand;Model graphics cards;Operating system;Storage Type;Storage capacity [GB];Drive interfaces;SSD capacity [GB];Number of occupied slots M.2;Slots in total M.2;Equipment;Webcam;USB-C charging;Charging connector;Battery capacity [Wh];Charging power [W];Maximum battery capacity [h];Construction material;Convertibility;Colour;Weight [kg];Data;Graphical output ports;Network;Audio;USB-C;USB 3.2 Gen 1 (USB 3.0);Bluetooth;WiFi;WiFi version;Optical drive;Width [mm];Maximum height [mm];Depth [mm];Keyboard language;Laptop Series;Certification;Extended warranty;Package includes;Country;Special event;Intel processor generation;Graphics card memory [GB];Maximum Graphic Power (TGP) [W];Boost clock [MHz];"Number of occupied slots 2.5""";"Slots in total 2.5""";Number of cells;Thunderbolt / USB 4;USB 3.2 Gen 2;Standby time [h];Lease;Processor model;USB 2.0;Number of free slots;Number of stream processors;GPU Passmark;HDD capacity [GB];Other interfaces;USB 3.2 Gen 2x2;Intel Optane [GB]
10;Umax VisionBook 13Wr Flex;5990.0;4950.0;3.8;8.0;In stock;13.3;1920 × 1080 p× px;IPS;Matte;16:9;60.0;;;Intel Celeron;;Intel Celeron N4020 Gemini Lake;2.0;1.1;2.4;6.0;;['Automatic Overclocking', 'Low energy consumption'];4.0;LPDDR4;2.4;;;['Integrated'];Intel;UHD Graphics 600;['Windows 10 Pro'];['Flash'];128.0;eMMC;;;1.0;['Backlit keyboard', 'Touch display', 'Memory Card Reader', 'Operating system'];1080 p;No charging via USB-C;3,5/1,35 mm;38.0;24.0;8.0;;Reflexive;['Grey'];1.5;;;;['Headphone input'];2.0;;Bluetooth v5.0;['WiFi 802.11ac'];WiFi 5;Without Optical Drive;305.0;15.0;210.0;['CZ', 'SK'];Umax VisionBook;;;['Power adapter'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;;;;;;;;;;;;;;;;;
11;HP ProBook 450 G10  3 roky ONSITE servis;21990.0;18174.0;5.0;6.0;In stock > 5 pcs;15.6;1920 × 1080 p× px;IPS;Matte;16:9;60.0;250.0;;Intel Core i5;;Intel Core i5 1335U Raptor Lake;10.0;0.9;4.6;15.0;12.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];16.0;DDR4;3.2;2.0;2.0;['Integrated'];Intel;Iris Xe Graphics;['Windows 11 Home'];['SSD'];1000.0;PCIe NVMe;1000.0;1.0;1.0;['Backlit keyboard', 'Numeric keyboard', 'Fingerprint Reader', 'Operating system', 'TPM 2.0'];720 p;Can be charged via USB-C;;42.0;45.0;10.75;['Metal', 'Plastic'];Rigid (classic laptop);['Silver'];1.74;USB-C;HDMI, USB-C;['RJ-45 (LAN)'];['Combo Audio Jack'];2.0;2.0;Bluetooth v5.3;['WiFi 802.11ax (6GHz)'];WiFi 6E;Without Optical Drive;359.4;19.9;233.9;['CZ', 'SK'];HP ProBook;['Windows 11 compatible'];;['Power adapter', 'Power cable'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;Raptor Lake (13th generation);;;;;;3.0;;;;;;;;;;;;;
12;Lenovo V15 G3 IAP;12389.0;10239.0;4.6;16.0;In stock > 5 pcs;15.6;1920 × 1080 p× px;TN;Anti-Glare;16:9;60.0;250.0;['45% NTSC'];Intel Core i5;;Intel Core i5 1235U Alder Lake;10.0;0.9;4.4;55.0;12.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];8.0;DDR4;3.2;;;['Integrated'];Intel;Iris Xe Graphics;['Windows 11 Home'];['SSD'];512.0;PCIe NVMe;512.0;1.0;1.0;['Operating system', 'TPM 2.0'];720 p;Can be charged via USB-C;Lenovo Wall Adapter;38.0;65.0;6.85;;Rigid (classic laptop);['Black'];1.7;USB-C;HDMI, USB-C;['RJ-45 (LAN)'];['Combo Audio Jack'];1.0;1.0;Bluetooth v5.0;['WiFi 802.11ac'];WiFi 5;Without Optical Drive;359.0;19.9;236.0;['CZ', 'SK'];Lenovo V series;['TÜV Low Blue Light', 'MIL-STD-810H'];['No extended warranty'];['Power adapter'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];Digital student SK;Alder Lake (12th generation);;;;0.0;1.0;;;;;;;1.0;;;;;;;
13;Lenovo V15 G3 IAP;13490.0;11149.0;4.7;7.0;In stock > 5 pcs;15.6;1920 × 1080 p× px;TN;Anti-Glare;16:9;60.0;250.0;['45% NTSC'];Intel Core i5;;Intel Core i5 1235U Alder Lake;10.0;0.9;4.4;55.0;12.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];8.0;DDR4;3.2;0.0;1.0;['Integrated'];Intel;Iris Xe Graphics;['Windows 11 Pro'];['SSD'];256.0;PCIe NVMe;256.0;1.0;1.0;['Operating system', 'TPM 2.0'];720 p;Can be charged via USB-C;Lenovo Wall Adapter;38.0;65.0;6.85;;Rigid (classic laptop);['Black'];1.7;USB-C;HDMI, USB-C;['RJ-45 (LAN)'];['Combo Audio Jack'];1.0;1.0;Bluetooth v5.0;['WiFi 802.11ac'];WiFi 5;Without Optical Drive;359.0;19.9;236.0;['CZ', 'SK'];Lenovo V series;['TÜV Low Blue Light', 'MIL-STD-810H'];['No extended warranty'];['Power adapter'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];Digital student SK;Alder Lake (12th generation);;;;0.0;1.0;;;;;;;1.0;;;;;;;
14;ASUS TUF Gaming F15 FX506HF-HN067W Graphite Black;16990.0;14041.0;4.9;19.0;In stock;15.6;1920 × 1080 p× px;IPS;Anti-Glare;16:9;144.0;250.0;;Intel Core i5;;Intel Core i5 11400H Tiger Lake;6.0;2.7;4.5;35.0;12.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];16.0;DDR4;3.2;2.0;2.0;['Dedicated'];NVIDIA GeForce;RTX 2050;['Windows 11 Home'];['SSD'];512.0;PCIe NVMe;512.0;1.0;2.0;['Numeric keyboard', 'Operating system', 'TPM 2.0', 'RGB backlit keyboard'];720 p;No charging via USB-C;6,00/3,00 mm;48.0;150.0;;['Plastic'];Rigid (classic laptop);['Black'];2.3;Thunderbolt 4;HDMI;['RJ-45 (LAN)'];['Combo Audio Jack'];;3.0;Bluetooth v5.3;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;359.0;24.5;256.0;['CZ', 'SK'];Asus TUF Gaming;['MIL-STD-810H'];['Pick-up & Return'];['Power adapter'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];Digital student SK;Tiger Lake (11th generation);4.0;70.0;1.625;0.0;0.0;3.0;1.0;;;;;;;;;;;;
15;Umax VisionBook 12WRX Yellow;3490.0;2884.0;3.1;7.0;In stock;11.6;1366 × 768 p× px;IPS;Matte;16:9;60.0;;;Intel Celeron;;Intel Celeron N4020 Gemini Lake;2.0;1.1;2.8;6.0;4.0;['Automatic Overclocking', 'Low energy consumption', 'Virtualization Support'];4.0;LPDDR4;2.4;;;['Integrated'];Intel;UHD Graphics 600;['Windows 11 Pro'];['Flash'];128.0;eMMC;;0.0;1.0;['Memory Card Reader', 'Operating system', 'TPM 2.0'];1080 p;No charging via USB-C;3,5/1,35 mm;30.0;24.0;6.0;;Rigid (classic laptop);['Yellow'];1.0;USB-C;Mini HDMI;;['Headphone input'];1.0;1.0;Bluetooth v4.2;['WiFi 802.11n'];WiFi 4;Without Optical Drive;280.0;15.0;195.0;['CZ', 'SK'];Umax VisionBook;;;['Power adapter'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];Digital student SK;Gemini Lake (8th generation);;;;;;;;;;;;1.0;;;;;;;
16;ASUS Vivobook Go 15 OLED E1504FA-OLED039W Mixed Black;13490.0;11149.0;5.0;1.0;In stock;15.6;1920 × 1080 p× px;OLED;Glossy;16:9;60.0;400.0;;AMD Ryzen 5;;AMD Ryzen 5 7520U;4.0;2.8;4.3;15.0;4.0;['Automatic Overclocking', 'Virtualization Support'];8.0;LPDDR5;5.5;0.0;0.0;['Integrated'];AMD Radeon;Graphics;['Windows 11 Home'];['SSD'];512.0;PCIe NVMe;512.0;1.0;1.0;['Backlit keyboard', 'Numeric keyboard', 'Operating system', 'TPM 2.0'];720 p;No charging via USB-C;4,5/3,0 mm;50.0;65.0;;['Plastic'];Rigid (classic laptop);['Black'];1.63;USB-C;HDMI;;['Combo Audio Jack'];1.0;1.0;Bluetooth v4.1;['WiFi 802.11ac'];WiFi 5;Without Optical Drive;360.3;17.9;232.5;['SK'];Asus VivoBook;['MIL-STD-810H'];['Pick-up & Return'];['Power adapter'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];Digital student SK;;;;;0.0;0.0;3.0;;;;;;1.0;;;;;;;
17;ASUS Vivobook 15 X1504ZA-BQ147W Cool Silver;14990.0;12388.0;4.1;9.0;In stock > 5 pcs;15.6;1920 × 1080 p× px;IPS;Anti-Glare;16:9;60.0;250.0;;Intel Core i5;;Intel Core i5 1235U Alder Lake;10.0;1.3;4.4;15.0;10.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];16.0;DDR4;3.2;1.0;1.0;['Integrated'];Intel;Iris Xe Graphics;['Windows 11 Home'];['SSD'];512.0;PCIe NVMe;512.0;1.0;1.0;['Backlit keyboard', 'Numeric keyboard', 'Operating system', 'TPM 2.0'];720 p;No charging via USB-C;4,5/3,0 mm;42.0;45.0;10.0;['Plastic'];Rigid (classic laptop);['Silver'];1.7;USB-C;HDMI;;['Combo Audio Jack'];1.0;2.0;Bluetooth v4.1;['WiFi 802.11ac'];WiFi 5;Without Optical Drive;359.7;17.9;232.5;['CZ', 'SK'];Asus VivoBook;['Windows 11 compatible', 'MIL-STD-810H'];['Pick-up & Return'];['Power adapter', 'Power cable'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];Digital student SK;Alder Lake (12th generation);;;;;;3.0;;;;;;1.0;;;;;;;
18;Acer Swift 3 Pure Silver all-metal + rozšíření záruky na 3 roky po registraci;12990.0;10736.0;4.4;5.0;In stock;14.0;1920 × 1080 p× px;IPS;Anti-Glare;16:9;;;['45% s RGB'];AMD Ryzen 5;Zen 2 (4th generation);AMD Ryzen 5 5500U;6.0;2.1;4.0;15.0;8.0;['Automatic Overclocking'];8.0;LPDDR4X;;0.0;0.0;['Integrated'];AMD Radeon;Graphics;['Windows 11 Home'];['SSD'];512.0;PCIe NVMe;512.0;1.0;1.0;['Backlit keyboard', 'Fingerprint Reader', 'Operating system'];720 p;Can be charged via USB-C;;48.0;65.0;12.5;;Rigid (classic laptop);['Silver'];1.2;;HDMI, DisplayPortDigital graphic output, suitable for transmission of uncompressed digital high-definition content. Supports up to 8-channel audio and 3D images. Not compatible with DVI and HDMI connectors., USB-C;;['Headphone input', 'Microphone input'];1.0;2.0;Bluetooth v5.2;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;322.8;15.95;212.2;['CZ', 'SK'];Acer Swift;;['No extended warranty'];;['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;;;;3.0;;;;;;;;;;;;;
19;Lenovo IdeaPad Gaming 3 15IHU6 Shadow Black + IdeaPad Gaming M100 RGB gaming mouse (záruka na 3 roky po registraci);17989.0;14867.0;5.0;4.0;In stock > 5 pcs;15.6;1920 × 1080 p× px;IPS;Anti-Glare;16:9;120.0;250.0;['45% NTSC'];Intel Core i5;;Intel Core i5 11320H Tiger Lake;4.0;3.2;4.5;35.0;8.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];16.0;DDR4;3.2;2.0;2.0;['Gaming'];NVIDIA GeForce;RTX 3050;['Without Operating System'];['SSD'];512.0;PCIe NVMe;512.0;1.0;2.0;['Numeric keyboard', 'TPM 2.0', 'RGB backlit keyboard'];720 p;No charging via USB-C;Lenovo Slim Tip;45.0;170.0;8.0;['Plastic'];Rigid (classic laptop);['Black'];2.25;USB-C;HDMI;['RJ-45 (LAN)'];['Combo Audio Jack'];1.0;2.0;Bluetooth v5.0;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;359.6;24.2;251.9;['CZ', 'SK'];Lenovo IdeaPad Gaming;['Windows 11 compatible'];['No extended warranty'];['Mouse', 'Power adapter', 'Power cable'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;Tiger Lake (11th generation);4.0;90.0;1.74;0.0;1.0;;;;;;;;;;;;;;
20;HP 250 G10 Silver;10990.0;9083.0;5.0;2.0;In stock > 5 pcs;15.6;1920 × 1080 p× px;VA;Anti-Glare;16:9;;250.0;;Intel Core i3;;Intel Core i3 1315U Raptor Lake;6.0;3.3;4.5;;10.0;['Automatic Overclocking', 'HyperThreading', 'Virtualization Support'];8.0;DDR4;3.2;1.0;2.0;['Integrated'];Intel;UHD Graphics;['Windows 11 Home'];['SSD'];512.0;PCIe NVMe;512.0;;;['Numeric keyboard', 'Operating system'];720 p;No charging via USB-C;;;45.0;;;Rigid (classic laptop);['Silver'];1.52;USB-C;HDMI;;['Combo Audio Jack'];1.0;2.0;Bluetooth v5.3;['WiFi 802.11ax'];WiFi 6;Without Optical Drive;360.0;18.6;236.0;['CZ'];;;;['Power adapter'];['Czechia', 'Slovakia', 'Hungary', 'Germany', 'Russia', 'Austria', 'Croatia', 'France', 'Poland', 'Romania', 'Slovenia'];;;;;;;;3.0;;;;;;;;;;;;;
